iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
VGB,North America,British Virgin Islands,2021-08-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29828.0,17095.0,12733.0,,,57.0,98.04,56.19,41.85,,1874.0,,30423.0,207.973,,,,,,,13.67,,,,,79.07,,
BRN,Asia,Brunei,2021-09-02,2960.0,102.0,114.429,12.0,1.0,0.857,6703.931,231.014,259.163,27.178,2.265,1.941,1.42,,,,,,,,,,,,,,,,,,327825.0,231613.0,96212.0,,,7365.0,74.25,52.46,21.79,,16681.0,79.63,441532.0,81.347,32.4,4.591,2.382,71809.251,,201.285,12.79,2.0,30.9,,2.7,75.86,0.838,
BGR,Europe,Bulgaria,2021-09-02,459051.0,1564.0,1517.143,19001.0,51.0,50.571,66561.398,226.777,219.982,2755.104,7.395,7.333,1.23,297.0,43.064,3369.0,488.498,,,,,,4199250.0,608.882,,22127.0,3.208,0.068,14.7,tests performed,2336831.0,,1188377.0,,12188.0,9582.0,33.88,,17.23,,1389.0,,6896655.0,65.18,44.7,20.801,13.272,18563.307,1.5,424.688,5.81,30.1,44.4,,7.454,75.05,0.816,
BFA,Africa,Burkina Faso,2021-09-02,13798.0,21.0,7.0,171.0,0.0,0.0,641.854,0.977,0.326,7.955,0.0,0.0,1.1,,,,,,,,,,,,,,,,,,108799.0,108799.0,13273.0,,,1266.0,0.51,0.51,0.06,,59.0,13.89,21497097.0,70.151,17.6,2.409,1.358,1703.102,43.7,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452,
BDI,Africa,Burundi,2021-09-02,12585.0,0.0,140.857,38.0,0.0,0.0,1026.892,0.0,11.493,3.101,0.0,0.0,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15.74,12255429.0,423.062,17.5,2.562,1.504,702.225,71.7,293.068,6.05,,,6.144,0.8,61.58,0.433,
KHM,Asia,Cambodia,2021-09-02,93926.0,416.0,424.0,1928.0,12.0,12.429,5542.519,24.548,25.02,113.77,0.708,0.733,0.9,,,,,,,,,,,,,,,,,,19246143.0,10894597.0,8594733.0,624380.0,160220.0,184716.0,113.57,64.29,50.72,3.68,10900.0,70.37,16946446.0,90.672,25.6,4.412,2.385,3645.07,,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594,
CMR,Africa,Cameroon,2021-09-02,84210.0,0.0,112.143,1357.0,0.0,1.0,3093.197,0.0,4.119,49.845,0.0,0.037,0.21,,,,,,,,,,,,,,,,,,428255.0,349385.0,78870.0,,,1446.0,1.57,1.28,0.29,,53.0,27.78,27224262.0,50.885,18.8,3.165,1.919,3364.926,23.8,244.661,7.2,,,2.735,1.3,59.29,0.563,
CAN,North America,Canada,2021-09-02,1515042.0,3996.0,3489.286,27045.0,25.0,16.571,39798.399,104.97,91.659,710.441,0.657,0.435,1.3,465.0,12.215,1352.0,35.515,,,,,70390.0,40476190.0,1063.263,1.849,77660.0,2.04,0.042,23.9,tests performed,53546432.0,28008700.0,25537732.0,,99484.0,98211.0,140.66,73.58,67.08,,2580.0,69.91,38067913.0,4.037,41.4,16.984,10.797,44017.591,0.5,105.599,7.37,12.0,16.6,,2.5,82.43,0.929,
CPV,Africa,Cape Verde,2021-09-02,35624.0,118.0,90.286,314.0,0.0,1.0,63399.069,210.001,160.679,558.817,0.0,1.78,1.22,,,,,,,,,1292.0,,,2.299,,,,,tests performed,309001.0,236158.0,72843.0,,,2770.0,54.99,42.03,12.96,,4930.0,,561901.0,135.58,25.7,4.46,3.437,6222.554,,182.219,2.42,2.1,16.5,,2.1,72.98,0.665,
CYM,North America,Cayman Islands,2021-09-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101206.0,51628.0,49578.0,,,138.0,152.19,77.64,74.56,,2075.0,,66498.0,256.496,,,,49903.029,,,13.22,,,,,83.92,,
CAF,Africa,Central African Republic,2021-09-02,11296.0,0.0,3.714,100.0,0.0,0.143,2295.941,0.0,0.755,20.325,0.0,0.029,0.1,,,,,,,,,,,,,,,,,,108895.0,77771.0,26000.0,,,1448.0,2.21,1.58,0.53,,294.0,24.07,4919987.0,7.479,18.3,3.655,2.251,661.24,,435.727,6.1,,,16.603,1.0,53.28,0.397,
TCD,Africa,Chad,2021-09-02,4994.0,0.0,0.714,174.0,0.0,0.0,295.241,0.0,0.042,10.287,0.0,0.0,1.09,,,,,,,,,,,,,,,,,,55598.0,40329.0,15269.0,,,1058.0,0.33,0.24,0.09,,63.0,25.0,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,
CHL,South America,Chile,2021-09-02,1639698.0,575.0,534.286,36995.0,50.0,31.0,85345.987,29.929,27.809,1925.583,2.602,1.614,0.85,,,,,,,,,48875.0,20009412.0,1041.486,2.544,50692.0,2.639,0.011,90.2,tests performed,29191019.0,14427750.0,13694664.0,1615486.0,153113.0,124498.0,151.94,75.1,71.28,8.41,6480.0,78.7,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,
CHN,Asia,China,2021-09-02,95017.0,28.0,27.0,4636.0,0.0,0.0,65.791,0.019,0.019,3.21,0.0,0.0,0.74,,,,,,,,,,,,,,,,,,2084650000.0,1072500000.0,889439000.0,,8222000.0,11533714.0,144.34,74.26,61.59,,7986.0,,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,
COL,South America,Colombia,2021-09-02,4913031.0,1949.0,1992.286,125097.0,81.0,75.714,95834.398,38.018,38.862,2440.163,1.58,1.477,0.7,,,,,,,,,28892.0,24066701.0,469.449,0.564,47553.0,0.928,0.056,17.9,tests performed,35546165.0,23600147.0,14722990.0,,190546.0,226101.0,69.34,46.03,28.72,,4410.0,51.39,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,
COM,Africa,Comoros,2021-09-02,4076.0,4.0,3.0,147.0,0.0,0.0,4587.734,4.502,3.377,165.456,0.0,0.0,0.72,,,,,,,,,,,,,,,,,,277419.0,175038.0,102389.0,,,5466.0,31.22,19.7,11.52,,6152.0,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,
COG,Africa,Congo,2021-09-02,13588.0,0.0,7.857,183.0,0.0,0.0,2401.973,0.0,1.389,32.349,0.0,0.0,0.73,,,,,,,,,,,,,,,,,,290287.0,184812.0,105475.0,,,2720.0,5.13,3.27,1.86,,481.0,35.19,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,
CRI,North America,Costa Rica,2021-09-02,469565.0,2991.0,2366.857,5540.0,17.0,17.571,91371.893,582.014,460.563,1078.02,3.308,3.419,1.2,,,,,,,,,2213.0,1652911.0,321.637,0.431,5883.0,1.145,0.3,3.3,people tested,4278505.0,3059023.0,1219482.0,,,35069.0,83.25,59.53,23.73,,6824.0,,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,
CIV,Africa,Cote d'Ivoire,2021-09-02,56521.0,373.0,317.429,451.0,6.0,5.143,2089.221,13.787,11.733,16.671,0.222,0.19,1.27,,,,,,,,,4628.0,880168.0,32.534,0.171,4001.0,0.148,0.049,20.5,samples tested,1370123.0,1370123.0,,,16570.0,10975.0,5.06,5.06,,,406.0,17.59,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,
HRV,Europe,Croatia,2021-09-02,375601.0,798.0,568.286,8349.0,11.0,4.714,92021.696,195.509,139.229,2045.493,2.695,1.155,1.31,,,275.0,67.375,,,242.395,59.386,9610.0,2543996.0,623.275,2.354,9079.0,2.224,0.055,18.3,people tested,3278961.0,1730522.0,1619592.0,,6476.0,6092.0,80.33,42.4,39.68,,1493.0,33.8,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,
CUB,North America,Cuba,2021-09-02,665672.0,6208.0,6571.429,5464.0,87.0,80.286,58817.947,548.531,580.643,482.792,7.687,7.094,0.82,,,,,,,,,,,,,,,,,,14115595.0,5552931.0,3916641.0,,192727.0,180399.0,124.72,49.07,34.61,,15940.0,71.76,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,
CUW,North America,Curacao,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182930.0,96253.0,86677.0,,293.0,243.0,111.0,58.41,52.6,,1475.0,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,
CYP,Europe,Cyprus,2021-09-02,114366.0,235.0,262.0,508.0,1.0,2.429,128789.815,264.638,295.043,572.069,1.126,2.735,0.83,27.0,30.405,157.0,176.801,11.0,12.387,75.0,84.459,53577.0,11600398.0,13063.438,60.334,43318.0,48.781,0.006,157.8,tests performed,1101034.0,576637.0,524397.0,,2700.0,2289.0,123.99,64.94,59.05,,2578.0,,888005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,
CZE,Europe,Czechia,2021-09-02,1679738.0,262.0,201.0,30404.0,0.0,1.571,156625.456,24.43,18.742,2834.99,0.0,0.147,1.05,,,,,28.08,2.618,112.321,10.473,73367.0,,,6.841,75090.0,7.002,0.001,1000.0,tests performed,11514297.0,5959058.0,5758996.0,,17721.0,19695.0,107.36,55.56,53.7,,1836.0,26.85,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,
COD,Africa,Democratic Republic of Congo,2021-09-02,55146.0,0.0,131.429,1059.0,0.0,0.286,596.96,0.0,1.423,11.464,0.0,0.003,0.94,,,,,,,,,2098.0,,,0.023,2085.0,0.023,0.064,15.7,samples tested,97818.0,83081.0,14737.0,,,1229.0,0.11,0.09,0.02,,13.0,37.96,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,
DNK,Europe,Denmark,2021-09-02,348561.0,699.0,813.571,2586.0,0.0,1.571,59959.211,120.241,139.95,444.842,0.0,0.27,0.93,19.0,3.268,129.0,22.19,,,177.711,30.57,36962.0,39745289.0,6836.956,6.358,69040.0,11.876,0.014,72.5,tests performed,8586828.0,4412094.0,4221201.0,,13015.0,19377.0,147.71,75.9,72.61,,3333.0,29.63,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,
DJI,Africa,Djibouti,2021-09-02,11765.0,8.0,7.571,157.0,0.0,0.0,11739.209,7.982,7.555,156.656,0.0,0.0,1.54,,,,,,,,,,,,,,,,,,60141.0,36344.0,23797.0,,,271.0,6.0,3.63,2.37,,270.0,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,
DMA,North America,Dominica,2021-09-02,1832.0,194.0,70.429,4.0,0.0,0.429,25383.805,2688.023,975.843,55.423,0.0,5.938,0.45,,,,,,,,,,,,,,,,,,42529.0,22343.0,20186.0,,,156.0,58.93,30.96,27.97,,2162.0,,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,
DOM,North America,Dominican Republic,2021-09-02,350789.0,321.0,267.714,4009.0,1.0,0.286,32024.663,29.305,24.441,365.995,0.091,0.026,0.97,,,,,,,,,3445.0,1950593.0,178.076,0.315,3115.0,0.284,0.091,11.0,samples tested,11189420.0,5827045.0,4671784.0,690591.0,37376.0,30159.0,102.15,53.2,42.65,6.3,2753.0,58.33,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,
ECU,South America,Ecuador,2021-09-02,502146.0,945.0,294.571,32296.0,52.0,18.571,28070.924,52.827,16.467,1805.408,2.907,1.038,0.6,,,,,,,,,2897.0,1662510.0,92.937,0.162,2514.0,0.141,0.333,3.0,people tested,19512448.0,10699102.0,8813346.0,,1064932.0,318229.0,109.08,59.81,49.27,,17790.0,65.74,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,
EGY,Africa,Egypt,2021-09-02,289035.0,303.0,268.0,16755.0,12.0,7.714,2772.297,2.906,2.571,160.707,0.115,0.074,1.4,,,,,,,,,,,,,,,,,,9391465.0,6182511.0,3208954.0,,,198126.0,9.01,5.93,3.08,,1900.0,43.52,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,
SLV,North America,El Salvador,2021-09-02,96067.0,0.0,286.714,2934.0,8.0,8.857,14737.593,0.0,43.985,450.104,1.227,1.359,0.96,,,,,,,,,,,,,,,,,,6470252.0,3594559.0,2875693.0,,90467.0,67094.0,99.26,55.14,44.12,,10293.0,32.41,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,
GNQ,Africa,Equatorial Guinea,2021-09-02,9477.0,0.0,43.429,126.0,0.0,0.429,6536.353,0.0,29.953,86.903,0.0,0.296,1.18,,,,,,,,,,195087.0,134.553,,649.0,0.448,0.061,16.4,tests performed,345719.0,197657.0,148062.0,,,2110.0,23.84,13.63,10.21,,1455.0,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,
ERI,Africa,Eritrea,2021-09-02,6642.0,0.0,0.857,38.0,0.0,0.143,1844.251,0.0,0.238,10.551,0.0,0.04,0.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.93,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,
EST,Europe,Estonia,2021-09-02,142837.0,474.0,356.571,1295.0,2.0,1.286,107786.216,357.685,269.072,977.22,1.509,0.97,1.14,15.0,11.319,116.0,87.535,9.971,7.525,97.721,73.741,5375.0,1759902.0,1328.039,4.056,4545.0,3.43,0.078,12.9,tests performed,1275705.0,728819.0,546886.0,,2363.0,3900.0,96.27,55.0,41.27,,2943.0,23.15,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,
SWZ,Africa,Eswatini,2021-09-02,43857.0,231.0,242.857,1129.0,17.0,10.286,37408.87,197.037,207.151,963.007,14.501,8.773,0.69,,,,,,,,,,,,,,,,,,239519.0,,,,,4546.0,20.43,,,,3878.0,59.26,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,
ETH,Africa,Ethiopia,2021-09-02,310994.0,1643.0,1325.857,4711.0,19.0,15.0,2638.31,13.938,11.248,39.966,0.161,0.127,1.18,,,,,,,,,5345.0,3230986.0,27.41,0.045,8654.0,0.073,0.166,6.0,tests performed,2455791.0,2455791.0,,,3841.0,9252.0,2.08,2.08,,,78.0,43.52,117876226.0,104.957,19.8,3.526,2.063,1729.927,26.7,182.634,7.47,0.4,8.5,7.96,0.3,66.6,0.485,
OWID_EUR,,Europe,2021-09-02,56014202.0,139607.0,126077.429,1180159.0,-9585.0,-85.714,74910.595,186.703,168.61,1578.286,-12.819,-0.115,,,,,,,,,,,,,,,,,,,750743278.0,404850235.0,360511551.0,572646.0,997377.0,2238234.0,100.4,54.14,48.21,0.08,2993.0,,747747396.0,,,,,,,,,,,,,,,
OWID_EUN,,European Union,2021-09-02,36554735.0,65187.0,58923.286,755883.0,-10744.0,-1144.429,81743.201,145.77,131.763,1690.295,-24.026,-2.559,,,,,,,,,,,,,,,,,,,535417713.0,289521229.0,260944163.0,342000.0,457947.0,1409722.0,119.73,64.74,58.35,0.08,3152.0,,447189915.0,,,,,,,,,,,,,,,
FRO,Europe,Faeroe Islands,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71315.0,36739.0,34576.0,,146.0,109.0,145.38,74.9,70.49,,2222.0,36.11,49053.0,35.308,,,,,,,,,,,,80.67,,
FJI,Oceania,Fiji,2021-09-02,47256.0,250.0,298.286,505.0,1.0,5.286,52338.08,276.886,330.364,559.31,1.108,5.854,0.82,,,,,,,,,,,,,,,,,,778159.0,543254.0,234905.0,,,4708.0,86.18,60.17,26.02,,5214.0,,902899.0,49.562,28.6,6.224,3.284,8702.975,1.4,412.82,14.49,10.2,34.8,,2.3,67.44,0.743,
FIN,Europe,Finland,2021-09-02,128544.0,683.0,608.429,1031.0,1.0,1.857,23167.923,123.099,109.659,185.821,0.18,0.335,0.99,23.0,4.145,94.0,16.942,,,,,15020.0,6565392.0,1183.303,2.707,22815.0,4.112,0.025,39.5,tests performed,6865509.0,4030265.0,2835244.0,,38468.0,39417.0,123.74,72.64,51.1,,7104.0,36.57,5548361.0,18.136,42.8,21.228,13.264,40585.721,,153.507,5.76,18.3,22.6,,3.28,81.91,0.938,
FRA,Europe,France,2021-09-02,6882305.0,14154.0,14959.0,115108.0,-11202.0,-1505.0,101863.114,209.489,221.404,1703.682,-165.798,-22.275,0.8,2276.0,33.686,11092.0,164.17,1151.158,17.038,4985.005,73.782,754742.0,,,11.171,725354.0,10.736,0.028,35.7,people tested,88304800.0,48650125.0,40662917.0,,397986.0,393652.0,130.7,72.01,60.18,,5826.0,66.67,67564251.0,122.578,42.0,19.718,13.079,38605.671,,86.06,4.77,30.1,35.6,,5.98,82.66,0.901,
PYF,Oceania,French Polynesia,2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,209386.0,119413.0,89973.0,,,2758.0,74.11,42.27,31.85,,9762.0,,282534.0,77.324,32.7,7.775,4.593,,,,22.63,,,,,77.66,,
GAB,Africa,Gabon,2021-09-02,25888.0,0.0,18.0,166.0,0.0,0.143,11360.221,0.0,7.899,72.844,0.0,0.063,1.33,,,,,,,,,7259.0,1078893.0,473.442,3.185,3452.0,1.515,0.004,236.9,samples tested,130798.0,77761.0,53037.0,,,689.0,5.74,3.41,2.33,,302.0,67.59,2278829.0,7.859,23.1,4.45,2.976,16562.413,3.4,259.967,7.2,,,,6.3,66.47,0.703,
GMB,Africa,Gambia,2021-09-02,9715.0,0.0,26.0,322.0,0.0,1.571,3906.412,0.0,10.455,129.477,0.0,0.632,0.95,,,,,,,,,,99342.0,39.946,,328.0,0.132,0.12,8.3,samples tested,351281.0,193496.0,157785.0,,,3322.0,14.13,7.78,6.34,,1336.0,43.06,2486937.0,207.566,17.5,2.339,1.417,1561.767,10.1,331.43,1.91,0.7,31.2,7.876,1.1,62.05,0.496,
GEO,Asia,Georgia,2021-09-02,556909.0,3212.0,3534.0,7563.0,81.0,76.429,139934.866,807.081,887.99,1900.36,20.353,19.204,0.89,,,,,,,,,44000.0,7860000.0,1974.987,11.056,42143.0,10.589,0.105,9.6,tests performed,1235386.0,813601.0,421785.0,,24640.0,24220.0,31.04,20.44,10.6,,6086.0,,3979773.0,65.032,38.7,14.864,10.244,9745.079,4.2,496.218,7.11,5.3,55.5,,2.6,73.77,0.812,
DEU,Europe,Germany,2021-09-02,3993789.0,13950.0,10077.0,92307.0,45.0,28.429,47601.509,166.268,120.107,1100.196,0.536,0.339,1.4,1003.0,11.955,,,,,907.94,10.822,,69471706.0,828.025,,97209.0,1.159,0.079,12.7,tests performed,102168969.0,54422242.0,50600451.0,,264072.0,207560.0,121.77,64.87,60.31,,2474.0,63.89,83900471.0,237.016,46.6,21.453,15.957,45229.245,,156.139,8.31,28.2,33.1,,8.0,81.33,0.947,
GHA,Africa,Ghana,2021-09-02,120003.0,567.0,508.857,1047.0,11.0,8.0,3781.751,17.868,16.036,32.995,0.347,0.252,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.44,31732128.0,126.719,21.1,3.385,1.948,4227.63,12.0,298.245,4.97,0.3,7.7,41.047,0.9,64.07,0.611,
GIB,Europe,Gibraltar,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,78889.0,39658.0,39231.0,,42.0,20.0,234.15,117.71,116.44,,594.0,,33691.0,3457.1,,,,,,,,,,,,79.93,,
GRC,Europe,Greece,2021-09-02,593668.0,2836.0,2866.143,13702.0,33.0,30.714,57244.478,273.461,276.368,1321.216,3.182,2.962,0.98,,,,,133.522,12.875,1580.009,152.352,103260.0,15096664.0,1455.697,9.957,92129.0,8.884,0.036,27.9,samples tested,11466985.0,6100506.0,5757051.0,,27572.0,26915.0,110.57,58.82,55.51,,2595.0,62.5,10370747.0,83.479,45.3,20.396,14.524,24574.382,1.5,175.695,4.55,35.3,52.0,,4.21,82.24,0.888,
GRL,North America,Greenland,2021-08-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72589.0,39878.0,32711.0,,223.0,296.0,127.64,70.12,57.52,,5205.0,44.44,56868.0,0.137,,,,,,199.941,2.16,,,,,71.7,,
GRD,North America,Grenada,2021-09-02,817.0,278.0,74.571,4.0,2.0,0.429,7229.129,2459.85,659.837,35.394,17.697,3.792,3.35,,,,,,,,,,,,,,,,,,42484.0,23965.0,18519.0,,,344.0,37.59,21.21,16.39,,3044.0,,113015.0,317.132,29.4,7.304,5.021,13593.877,,243.964,10.71,,,,3.7,72.4,0.779,
GTM,North America,Guatemala,2021-09-02,479376.0,3828.0,3444.714,12098.0,91.0,57.714,26267.368,209.755,188.753,662.909,4.986,3.162,1.08,,,,,,,,,6484.0,2178407.0,119.366,0.355,12099.0,0.663,0.305,3.3,people tested,4699503.0,3389993.0,1309510.0,,92358.0,82099.0,25.75,18.58,7.18,,4499.0,52.78,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,
GGY,Europe,Guernsey,2021-09-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99484.0,,,,,57.0,148.37,,,,850.0,,67052.0,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2021-09-02,29605.0,64.0,56.571,341.0,3.0,2.143,2193.412,4.742,4.191,25.264,0.222,0.159,1.08,,,,,,,,,,,,,,,,,,1129887.0,760222.0,369665.0,,6589.0,10400.0,8.37,5.63,2.74,,771.0,51.85,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,
GNB,Africa,Guinea-Bissau,2021-09-02,5854.0,25.0,25.429,120.0,0.0,0.714,2904.505,12.404,12.617,59.539,0.0,0.354,1.09,,,,,,,,,,,,,,,,,,31090.0,28097.0,2993.0,,,44.0,1.54,1.39,0.15,,22.0,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,
GUY,South America,Guyana,2021-09-02,25951.0,181.0,155.286,632.0,8.0,3.714,32835.692,229.019,196.482,799.667,10.122,4.7,1.25,,,,,,,,,,,,,,,,,,474491.0,313469.0,161022.0,,2303.0,2362.0,60.04,39.66,20.37,,2989.0,,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,
HTI,North America,Haiti,2021-09-02,20941.0,25.0,15.429,586.0,0.0,0.286,1814.38,2.166,1.337,50.772,0.0,0.025,1.04,,,,,,,,,,,,,,,,,,31698.0,27305.0,4734.0,,2471.0,894.0,0.27,0.24,0.04,,77.0,55.56,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,
HND,North America,Honduras,2021-09-02,342508.0,1949.0,1231.143,8998.0,38.0,28.0,34036.391,193.68,122.344,894.167,3.776,2.782,1.09,,,,,,,,,,,,,,,,,,4077054.0,2768916.0,1308136.0,,,74923.0,40.52,27.52,13.0,,7445.0,,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,
HKG,Asia,Hong Kong,2021-09-02,12113.0,0.0,5.143,212.0,0.0,0.0,1603.776,0.0,0.681,28.069,0.0,0.0,,,,,,,,,,,23570776.0,3120.8,,60019.0,7.947,0.0,16666.7,tests performed,7685413.0,4182838.0,3502575.0,,47688.0,56771.0,101.76,55.38,46.37,,7517.0,,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,
HUN,Europe,Hungary,2021-09-02,812793.0,262.0,182.286,30060.0,1.0,0.571,84365.719,27.195,18.921,3120.147,0.104,0.059,1.73,,,82.0,8.511,,,,,26863.0,6118069.0,635.039,2.788,10923.0,1.134,0.014,69.1,tests performed,11633799.0,5781121.0,,342000.0,30659.0,59054.0,120.76,60.01,,3.55,6130.0,25.0,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,
ISL,Europe,Iceland,2021-09-02,10912.0,56.0,67.0,33.0,0.0,0.286,31780.056,163.094,195.13,96.109,0.0,0.832,0.93,,,14.0,40.774,0.0,0.0,8.487,24.716,1847.0,579129.0,1686.652,5.379,2551.0,7.43,,,tests performed,528743.0,279665.0,264204.0,38962.0,835.0,517.0,153.99,81.45,76.95,11.35,1506.0,41.67,343360.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,
IND,Asia,India,2021-09-02,32857937.0,0.0,36392.714,439529.0,0.0,381.143,23580.97,0.0,26.118,315.434,0.0,0.274,1.08,,,,,,,,,1394573.0,521541098.0,374.291,1.001,1735615.0,1.246,0.023,42.8,samples tested,669775627.0,515627968.0,154147659.0,,8198711.0,9340631.0,48.07,37.0,11.06,,6703.0,70.83,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,
IDN,Asia,Indonesia,2021-09-02,4100138.0,0.0,8057.429,133676.0,0.0,499.143,14836.125,0.0,29.155,483.699,0.0,1.806,0.63,,,,,,,,,78055.0,21357173.0,77.28,0.282,108131.0,0.391,0.119,8.4,people tested,102385008.0,65229678.0,37155330.0,,1700685.0,1371546.0,37.05,23.6,13.44,,4963.0,68.98,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,
OWID_INT,,International,2021-09-02,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
