iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
TUR,Asia,Turkey,2021-09-02,6412247.0,0.0,16997.143,57000.0,0.0,218.714,75400.291,0.0,199.866,670.251,0.0,2.572,0.99,,,,,,,,,283250.0,76100008.0,894.844,3.331,291761.0,3.431,0.065,15.5,tests performed,95565306.0,48854935.0,37645172.0,9065199.0,691422.0,545394.0,112.37,57.45,44.27,10.66,6413.0,32.41,85042736.0,104.914,31.6,8.153,5.061,25129.341,0.2,171.285,12.13,14.1,41.1,,2.81,77.69,0.82,
TUV,Oceania,Tuvalu,2021-08-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10692.0,6167.0,4525.0,,,240.0,89.66,51.71,37.95,,20126.0,,11925.0,373.067,,,,3575.104,3.3,,27.25,,,,,67.57,,
UGA,Africa,Uganda,2021-09-02,120208.0,133.0,152.429,3031.0,8.0,8.286,2550.912,2.822,3.235,64.32,0.17,0.176,0.21,,,,,,,,,2721.0,1561437.0,33.135,0.058,3573.0,0.076,0.868,1.2,samples tested,1297726.0,901900.0,242310.0,,134275.0,19787.0,2.75,1.91,0.51,,420.0,81.48,47123533.0,213.759,16.4,2.168,1.308,1697.707,41.6,213.333,2.5,3.4,16.7,21.222,0.5,63.37,0.544,
UKR,Europe,Ukraine,2021-09-02,2389923.0,2871.0,2273.0,57129.0,63.0,63.857,54982.695,66.05,52.293,1314.313,1.449,1.469,1.16,,,,,,,,,21358.0,11980323.0,275.62,0.491,19717.0,0.454,0.102,9.8,tests performed,9510965.0,5498949.0,4012016.0,,152772.0,124989.0,21.88,12.65,9.23,,2876.0,50.93,43466822.0,77.39,41.4,16.462,11.133,7894.393,0.1,539.849,7.11,13.5,47.4,,8.8,72.06,0.779,
ARE,Asia,United Arab Emirates,2021-09-02,720330.0,975.0,989.714,2043.0,0.0,1.714,72097.289,97.587,99.06,204.482,0.0,0.172,0.92,,,,,,,,,329146.0,74776361.0,7484.31,32.944,321605.0,32.189,0.003,324.0,tests performed,18289168.0,8693586.0,7595761.0,,130177.0,63729.0,183.05,87.01,76.03,,6379.0,46.3,9991083.0,112.442,34.0,1.144,0.526,67293.483,,317.84,17.26,1.2,37.4,,1.2,77.97,0.89,
GBR,Europe,United Kingdom,2021-09-02,6894915.0,37982.0,33571.286,133244.0,178.0,111.286,101087.916,556.863,492.196,1953.521,2.61,1.632,1.03,1014.0,14.866,7598.0,111.396,,,6216.0,91.134,974138.0,240055533.0,3519.509,14.282,772420.0,11.325,0.044,22.8,tests performed,91155368.0,48131996.0,43023372.0,,157473.0,151475.0,133.64,70.57,63.08,,2221.0,43.98,68207114.0,272.898,40.8,18.517,12.527,39753.244,0.2,122.137,4.28,20.0,24.7,,2.54,81.32,0.932,
USA,North America,United States,2021-09-02,39549299.0,153143.0,166412.857,643669.0,1588.0,1443.571,118796.961,460.006,499.866,1933.433,4.77,4.336,1.14,25581.0,76.839,97941.0,294.192,,,87661.0,263.313,909779.0,523153338.0,1571.432,2.733,1104795.0,3.319,0.141,7.1,tests performed,372116617.0,205911640.0,174973937.0,,836488.0,906992.0,110.64,61.22,52.03,,2697.0,57.87,332915074.0,35.608,38.3,15.413,9.732,54225.446,1.2,151.089,10.79,19.1,24.6,,2.77,78.86,0.926,
URY,South America,Uruguay,2021-09-02,385264.0,186.0,115.143,6034.0,0.0,1.286,110544.389,53.369,33.038,1731.345,0.0,0.369,0.96,,,,,,,,,6484.0,3315862.0,951.425,1.86,5537.0,1.589,0.015,64.9,tests performed,5685698.0,2673060.0,2519761.0,492877.0,48933.0,35787.0,163.14,76.7,72.3,14.14,10268.0,52.78,3485152.0,19.751,35.6,14.655,10.361,20551.409,0.1,160.708,6.93,14.0,19.9,,2.8,77.91,0.817,
UZB,Asia,Uzbekistan,2021-09-02,157872.0,736.0,787.0,1093.0,5.0,6.143,4652.083,21.688,23.191,32.208,0.147,0.181,0.97,,,,,,,,,,,,,,,,,,14338693.0,9490884.0,,,301584.0,215302.0,42.25,27.97,,,6344.0,,33935765.0,76.134,28.2,4.469,2.873,6253.104,,724.417,7.57,1.3,24.7,,4.0,71.72,0.72,
VUT,Oceania,Vanuatu,2021-09-02,4.0,0.0,0.0,1.0,0.0,0.0,12.72,0.0,0.0,3.18,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,314464.0,22.662,23.1,4.394,2.62,2921.909,13.2,546.3,12.02,2.8,34.5,25.209,,70.47,0.609,
VAT,Europe,Vatican,2021-09-02,27.0,0.0,0.0,,,0.0,33251.232,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,812.0,,,,,,,,,,,,,75.12,,
VEN,South America,Venezuela,2021-09-02,337359.0,2126.0,1089.0,4056.0,30.0,14.429,11752.643,74.064,37.938,141.3,1.045,0.503,1.04,,,,,,,,,,,,,,,,,,9342817.0,6006270.0,3336547.0,,,466473.0,32.55,20.92,11.62,,16251.0,,28704947.0,36.253,29.0,6.614,3.915,16745.022,,204.85,6.47,,,,0.8,72.06,0.711,
VNM,Asia,Vietnam,2021-09-02,486727.0,13197.0,13398.429,12138.0,270.0,353.0,4958.061,134.432,136.484,123.644,2.75,3.596,1.17,,,,,,,,,1014412.0,13016830.0,132.596,10.333,296696.0,3.022,0.037,27.3,samples tested,20210381.0,17483818.0,2726563.0,,243657.0,241168.0,20.59,17.81,2.78,,2457.0,72.69,98168829.0,308.127,32.6,7.15,4.718,6171.884,2.0,245.465,6.0,1.0,45.9,85.847,2.6,75.4,0.704,
WLF,Oceania,Wallis and Futuna,2021-08-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9676.0,4899.0,4777.0,,,20.0,87.22,44.16,43.06,,1803.0,,11094.0,,,,,,,,,,,,,79.94,,
OWID_WRL,,World,2021-09-02,219017517.0,586253.0,627133.571,4541048.0,-2120.0,7878.0,27811.869,74.445,79.636,576.644,-0.269,1.0,0.98,,,,,,,,,,,,,,,,,,5413509385.0,3156265062.0,2155618123.0,16136107.0,26780355.0,38922908.0,68.74,40.08,27.37,0.2,4943.0,,7874965732.0,58.045,30.9,8.696,5.355,15469.207,10.0,233.07,8.51,6.434,34.635,60.13,2.705,72.58,0.737,
YEM,Asia,Yemen,2021-09-02,7951.0,51.0,39.286,1486.0,6.0,6.0,260.769,1.673,1.288,48.736,0.197,0.197,1.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30490639.0,53.508,20.3,2.922,1.583,1479.147,18.8,495.003,5.35,7.6,29.2,49.542,0.7,66.12,0.47,
ZMB,Africa,Zambia,2021-09-02,206705.0,183.0,198.571,3608.0,3.0,3.0,10924.832,9.672,10.495,190.691,0.159,0.159,0.74,,,,,,,,,6292.0,2258787.0,119.382,0.333,5998.0,0.317,0.037,27.0,tests performed,588857.0,310574.0,278283.0,,4095.0,3747.0,3.11,1.64,1.47,,198.0,,18920657.0,22.995,17.7,2.48,1.542,3689.251,57.5,234.499,3.94,3.1,24.7,13.938,2.0,63.89,0.584,
ZWE,Africa,Zimbabwe,2021-09-02,125118.0,158.0,161.714,4449.0,11.0,13.286,8290.259,10.469,10.715,294.789,0.729,0.88,0.6,,,,,,,,,3957.0,1092557.0,72.392,0.262,5952.0,0.394,0.063,15.8,tests performed,4323735.0,2649505.0,1674230.0,,53305.0,39711.0,28.65,17.56,11.09,,2631.0,78.7,15092171.0,42.729,19.6,2.822,1.882,1899.775,21.4,307.846,1.82,1.6,30.7,36.791,1.7,61.49,0.571,
